Date,XLU,XLP,XLV,XLF,XLY,XLI,XLB,XLK,XLC,SPLV,SPHB,RPV,RPG,IWM,SPY,VYM,HYG,IEI,sp50,Breadth (50),Breadth (200),13 forward,XLU,XLP,XLV,XLE,XLY,XLI,XLB,XLK,XLC,SPLV,SPHB,RPV,RPG,IWM,SPY,VYM,,26 forward,XLU,XLP,XLV,XLE,XLY,XLI,XLB,XLK,XLC,SPLV,SPHB,RPV,RPG,IWM,SPY,VYM
03/04/2016,23.56,52.04,67.41,22.28,38.36,53.78,21.73,21.21,,38.94,28.52,49.62,15.38,107.72,200.43,67.53,47.71,102.80,,84.8%,50.8%,,0.06304394,0.029208301,0.07239282,0.055206463,0.031152242,0.041093343,0.096640589,0.035832155,#VALUE!,0.052645095,0.071879383,0.047762999,0.060353802,0.076587449,0.04914434,0.04886717,,,,,,,,,,,,,,,,,,
03/11/2016,24.08,52.45,68.59,22.49,38.65,54.04,22.20,21.44,,39.46,28.73,50.44,15.53,108.20,202.76,68.49,48.46,102.38,,91.4%,58.7%,,0.050259605,0.032030505,0.046508237,0.029791018,0.015394567,0.044966691,0.075225225,0.025425706,#VALUE!,0.048403447,0.046293073,0.019032514,0.042638284,0.072727743,0.036052476,0.037377719,,,,,,,,,,,,,,,,,,
03/18/2016,24.32,52.65,66.84,22.73,39.05,55.63,22.71,21.80,,39.89,29.36,51.06,15.66,109.61,204.38,68.88,48.61,103.09,,93.3%,62.6%,,0.039481801,0.015574549,0.048174746,-0.005279366,-0.002048918,0.001797591,0.039189784,-0.012388162,#VALUE!,0.030834796,0.008855586,-0.007442225,0.018649891,0.040598486,0.010470692,0.024680604,,,,,,,,,,,,,,,,,,
03/25/2016,24.46,52.32,67.39,22.31,38.78,55.12,22.28,21.81,,39.76,28.43,50.04,15.59,107.20,203.12,68.42,47.99,102.94,,91.6%,59.0%,,0.034757718,0.014908257,0.028194094,-0.010309278,-0.018052869,-0.013425254,0.032996633,-0.030719853,#VALUE!,0.030935614,0.014073212,-0.008193445,0.006540977,0.049906716,4.9232E-05,0.010230927,,,,,,,,,,,,,,,,,,
04/01/2016,24.91,53.62,68.55,22.70,39.72,55.73,22.62,22.35,,40.68,28.63,50.43,16.04,111.12,206.92,69.35,48.23,103.67,,95.9%,68.5%,,0.053603694,0.023685192,0.05266229,0.001762115,-0.007050233,0.008254082,0.024756852,-0.027516779,#VALUE!,0.049901672,0.031435557,0.016260163,0.009349289,0.038426926,0.014502223,0.030857967,,,,,,,,,,,,,,,,,,
04/08/2016,24.43,53.41,69.35,22.05,38.94,54.71,22.26,21.95,,40.18,28.40,49.17,15.86,109.11,204.50,68.64,48.32,104.07,,87.3%,63.4%,,0.075537359,0.042688635,0.06258111,0.039455782,0.035315269,0.046061049,0.054806828,0.005468216,#VALUE!,0.074912892,0.040140845,0.049013626,0.043264379,0.070387682,0.039857369,0.052156177,,,,,,,,,,,,,,,,,,
04/15/2016,24.45,53.04,70.02,22.90,39.75,56.05,23.02,22.17,,40.32,29.80,50.88,16.02,112.45,207.78,69.57,48.89,103.85,,90.3%,70.9%,,0.063612191,0.050249835,0.057983433,0.027074236,0.018744496,0.047100803,0.059743645,0.01511051,#VALUE!,0.068204365,0.036241611,0.045007862,0.045074291,0.064473099,0.038742901,0.054908725,,,,,,,,,,,,,,,,,,
04/22/2016,23.67,51.96,71.87,23.55,39.73,56.41,23.61,21.72,,39.89,31.16,52.13,15.99,114.11,208.97,69.87,49.43,103.27,,78.8%,77.2%,,0.11427437,0.06812933,0.043411716,0.00552017,0.02693179,0.033327424,0.030713832,0.055018416,#VALUE!,0.081223364,-0.003530167,0.022635718,0.058551232,0.05512225,0.039575059,0.054816087,,,,,,,,,,,,,,,,,,
04/29/2016,24.21,52.30,69.79,23.31,39.60,56.16,23.55,21.07,,39.94,30.68,51.92,15.74,112.48,206.33,69.54,49.70,103.61,,68.5%,70.7%,,0.076414705,0.045889101,0.077505918,0.014586015,0.030555556,0.033475783,0.033757962,0.102539758,#VALUE!,0.071857787,0.016949153,0.025423729,0.077636595,0.076369132,0.052290787,0.051768766,,,,,,,,,,,,,,,,,,
05/06/2016,24.42,53.24,69.18,23.13,39.64,55.64,23.08,21.13,,40.46,29.22,50.84,15.80,110.91,205.72,69.28,49.14,103.93,,63.9%,67.0%,,0.038910506,0.025356875,0.087742122,0.038478167,0.028884965,0.04798706,0.056542461,0.113609467,#VALUE!,0.050420168,0.079055441,0.044059795,0.075588723,0.10269588,0.060567762,0.054849885,,,,,,,,,,,,,,,,,,
05/13/2016,24.70,53.24,69.14,22.88,39.06,55.05,22.98,21.11,,40.55,28.69,49.75,15.82,109.64,204.76,69.11,49.29,104.07,,53.4%,67.0%,,0.03057299,0.03474831,0.081573619,0.042832168,0.049801562,0.063760218,0.053754081,0.116086235,#VALUE!,0.050061652,0.102306756,0.064723618,0.075240195,0.114465524,0.066907599,0.058023441,,,,,,,,,,,,,,,,,,
05/20/2016,24.15,52.16,69.69,23.21,38.85,55.03,23.14,21.37,,40.05,29.48,50.40,15.89,110.79,205.49,69.09,49.50,103.41,,49.8%,69.4%,,0.041002278,0.05291411,0.067011049,0.034467902,0.048906049,0.072505906,0.058556612,0.100397847,#VALUE!,0.054931336,0.098303935,0.056150794,0.069225996,0.109666937,0.06350674,0.05775076,,,,,,,,,,,,,,,,,,
