Risk-On_n,Risk-On_4wk_avg,Risk-On_4wk_wr,Risk-On_13wk_avg,Risk-On_13wk_wr,Risk-On_26wk_avg,Risk-On_26wk_wr,Defensive_n,Defensive_4wk_avg,Defensive_4wk_wr,Defensive_13wk_avg,Defensive_13wk_wr,Defensive_26wk_avg,Defensive_26wk_wr,Neutral_n,Neutral_4wk_avg,Neutral_4wk_wr,Neutral_13wk_avg,Neutral_13wk_wr,Neutral_26wk_avg,Neutral_26wk_wr,Spread_26wk,Threshold_Def,Threshold_RO,EWMA_Span,Hysteresis
1,0.04237947122861607,1.0,0.07131285640228091,1.0,0.1961508553654745,1.0,4,-0.03800400234356191,0.0,-0.026917388764936018,0.25,-0.005653374088205515,0.5,6,0.03616619687273973,0.8333333333333334,0.03703628197903963,0.6666666666666666,0.08441391665700543,0.6666666666666666,0.20180422945368,9,-9,7,0
1,0.04237947122861607,1.0,0.07131285640228091,1.0,0.1961508553654745,1.0,4,-0.03800400234356191,0.0,-0.026917388764936018,0.25,-0.005653374088205515,0.5,6,0.03616619687273973,0.8333333333333334,0.03703628197903963,0.6666666666666666,0.08441391665700543,0.6666666666666666,0.20180422945368,9,-9,7,5
1,0.04237947122861607,1.0,0.07131285640228091,1.0,0.1961508553654745,1.0,4,-0.03800400234356191,0.0,-0.026917388764936018,0.25,-0.005653374088205515,0.5,6,0.03616619687273973,0.8333333333333334,0.03703628197903963,0.6666666666666666,0.08441391665700543,0.6666666666666666,0.20180422945368,9,-9,7,3
3,0.019706269130102056,0.6666666666666666,0.06256017058042936,0.6666666666666666,0.15447754730900765,1.0,5,-0.0012883528793650623,0.4,-0.030252878106752434,0.2,0.004942300915246878,0.6,9,0.025156758457696136,0.7777777777777778,0.02418717174902121,0.5555555555555556,0.07924925882842859,0.6666666666666666,0.14953524639376076,9,-9,6,3
3,0.019706269130102056,0.6666666666666666,0.06256017058042936,0.6666666666666666,0.15447754730900765,1.0,5,-0.0012883528793650623,0.4,-0.030252878106752434,0.2,0.004942300915246878,0.6,9,0.025156758457696136,0.7777777777777778,0.02418717174902121,0.5555555555555556,0.07924925882842859,0.6666666666666666,0.14953524639376076,9,-9,6,5
3,0.019706269130102056,0.6666666666666666,0.06256017058042936,0.6666666666666666,0.15447754730900765,1.0,5,-0.0012883528793650623,0.4,-0.030252878106752434,0.2,0.004942300915246878,0.6,9,0.025156758457696136,0.7777777777777778,0.02418717174902121,0.5555555555555556,0.07924925882842859,0.6666666666666666,0.14953524639376076,9,-9,6,0
4,0.03504370472147955,1.0,0.04840813848086656,0.75,0.1347730111225478,1.0,4,-0.03775747681346869,0.0,-0.03140227119597752,0.5,0.005755914598646078,0.5,9,0.023239682931360188,0.7777777777777778,0.0305180397485098,0.5555555555555556,0.08980220009074143,0.7777777777777778,0.12901709652390173,9,-9,5,0
4,0.03504370472147955,1.0,0.04840813848086656,0.75,0.1347730111225478,1.0,4,-0.03775747681346869,0.0,-0.03140227119597752,0.5,0.005755914598646078,0.5,9,0.023239682931360188,0.7777777777777778,0.0305180397485098,0.5555555555555556,0.08980220009074143,0.7777777777777778,0.12901709652390173,9,-9,5,3
4,0.03504370472147955,1.0,0.04840813848086656,0.75,0.1347730111225478,1.0,4,-0.03775747681346869,0.0,-0.03140227119597752,0.5,0.005755914598646078,0.5,9,0.023239682931360188,0.7777777777777778,0.0305180397485098,0.5555555555555556,0.08980220009074143,0.7777777777777778,0.12901709652390173,9,-9,5,5
5,0.02597411545205397,0.8,0.036298974372980665,0.6,0.12051804759179277,1.0,4,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,10,0.016351248452290145,0.7,0.02080076510328662,0.5,0.08496849421301797,0.8,0.12229622597794115,9,-9,4,5
5,0.02597411545205397,0.8,0.036298974372980665,0.6,0.12051804759179277,1.0,4,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,10,0.016351248452290145,0.7,0.02080076510328662,0.5,0.08496849421301797,0.8,0.12229622597794115,9,-9,4,0
5,0.02597411545205397,0.8,0.036298974372980665,0.6,0.12051804759179277,1.0,4,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,10,0.016351248452290145,0.7,0.02080076510328662,0.5,0.08496849421301797,0.8,0.12229622597794115,9,-9,4,3
7,-0.003449163246680336,0.7142857142857143,0.029727886794842222,0.8571428571428571,0.11955270299372397,0.8571428571428571,5,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,13,-0.001968705174980554,0.4166666666666667,0.03411711061777271,0.75,0.10760111551368919,0.8333333333333334,0.12133088137987236,8,-8,5,5
7,-0.003449163246680336,0.7142857142857143,0.029727886794842222,0.8571428571428571,0.11955270299372397,0.8571428571428571,5,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,13,-0.001968705174980554,0.4166666666666667,0.03411711061777271,0.75,0.10760111551368919,0.8333333333333334,0.12133088137987236,8,-8,5,3
7,-0.003449163246680336,0.7142857142857143,0.029727886794842222,0.8571428571428571,0.11955270299372397,0.8571428571428571,5,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,13,-0.001968705174980554,0.4166666666666667,0.03411711061777271,0.75,0.10760111551368919,0.8333333333333334,0.12133088137987236,8,-8,5,0
